FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,Risk_Category,scaled_new_cases,scaled_incidence
6,10,25677288,382972,9288.055351522851,201703.0,Low,0.11234789492642398,-0.4321681123070857
6,11,25824757,391637,9341.408823579188,147469.0,Low,0.024127034224440045,-0.4179851317887488
6,12,25961961,401088,9391.06615185888,137204.0,Low,0.007429259118309845,-0.4047846990439057
6,13,26095959,408836,9439.577361017771,133998.0,Low,0.002214152738353351,-0.39188893972584277
6,14,26233264,413844,9489.256020852075,137305.0,Low,0.007593552862656572,-0.37868283640302564
6,15,26389534,418307,9545.777047992757,156270.0,Low,0.03844336337291076,-0.3636578231111781
6,16,26504923,421802,9587.548570548845,115389.0,Low,-0.028056562989847024,-0.3525536780986719
6,17,26600953,424797,9622.30345784392,96030.0,Low,-0.05954728177012705,-0.3433147687939023
6,18,26694298,428215,9656.072393453684,93345.0,Low,-0.06391489269657222,-0.3343379555253577
6,19,26779614,430308,9686.944214705409,85316.0,Low,-0.07697543203676893,-0.3261312836349799
6,20,26848614,431912,9711.912257053791,69000.0,Low,-0.10351619176707778,-0.31949401628274093
6,21,26922779,433854,9738.74482189618,74165.0,Low,-0.09511443741508924,-0.3123611019709082
6,22,26987808,435794,9762.27244198044,65029.0,Low,-0.10997570126015553,-0.3061067427992026
6,23,27037957,438238,9780.42487185367,50149.0,Low,-0.13418056181341587,-0.3012812731656493
6,24,27084841,438513,9797.37152656353,46884.0,Low,-0.13949164176680262,-0.2967763353549079
6,25,27142213,440036,9818.11664420183,57372.0,Low,-0.12243111908652074,-0.2912616502186915
6,26,27190052,441828,9835.425212236583,47839.0,Low,-0.1379381712138212,-0.2866605048053618
6,27,27259497,443318,9860.551614261598,69445.0,Low,-0.10279232328951052,-0.27998114062002094
6,28,27420560,445036,9918.835206296251,161063.0,Low,0.0462399962110678,-0.2644875838090729
6,29,27686893,446148,10015.170676245098,266333.0,High,0.21747962460096804,-0.23887867700603305
6,30,28078325,447434,10156.70554111102,391432.0,High,0.4209745070171182,-0.20125439214338747
6,31,28622132,449625,10353.285217227953,543807.0,High,0.6688384604313012,-0.14899751720704868
6,32,29224613,449418,10571.00771793362,602481.0,High,0.7642817392015967,-0.09112023449428622
6,33,29907257,451227,10817.75812584808,682644.0,High,0.8946805454200784,-0.025526448495745643
6,34,30628042,455041,11078.278594593736,720785.0,High,0.9567233939659052,0.04372783975275037
6,35,31334260,459761,11333.4878677922,706218.0,High,0.933027681353046,0.11157025019701766
6,36,31871004,465040,11527.479556317112,536744.0,High,0.6573492850221831,0.16313915908007723
6,37,32365504,471220,11706.24955364174,494500.0,High,0.5886322064461126,0.21066167807642408
6,38,32758084,476516,11848.269620987192,392580.0,High,0.42284192502216816,0.24841494456012272
6,39,33123537,481585,11980.501758730636,365453.0,High,0.3787152279638151,0.2835662807568184
6,40,33438359,486492,12094.303794839096,314822.0,High,0.29635526192402184,0.31381833369479883
6,41,33712173,491109,12193.262322901954,273814.0,High,0.22964874837777857,0.34012452936575355
6,42,33984321,496711,12291.534264147647,272148.0,High,0.22693871493142562,0.3662482093151127
6,43,34268453,501667,12394.22653737156,284132.0,High,0.24643273703292237,0.3935469483546369
6,44,34583065,505596,12507.86949069984,314612.0,High,0.29601366106943955,0.423756712236533
6,45,34879769,509452,12615.170825927533,296704.0,High,0.2668832415272496,0.45228068056457255
6,46,35132026,513597,12706.333936210069,252257.0,High,0.19458260731953708,0.4765146163759653
6,47,35348908,517575,12784.754515800629,216882.0,High,0.13703913002978008,0.4973611987951033
6,48,35606958,521361,12878.062712753106,258050.0,High,0.20400591089380032,0.5221653640831795
6,49,35939574,524899,12998.382081123897,332616.0,High,0.32530024100229565,0.554149922759691
6,50,36257433,528011,13113.372899462383,317859.0,High,0.3012954609495764,0.5847179902804002
6,51,36768719,531165,13298.201058297473,511286.0,High,0.6159375014223913,0.6338509534215835
6,52,32479197,457426,13704.090588204395,0.0,High,-0.21575647255840597,0.7417487728772356
8,1,2624316,38789,6075.261753869004,2624316.0,Low,4.053141566936886,-1.2862266627393257
8,2,2720717,39801,6373.424902369448,96401.0,Low,-0.05894378692703165,-1.2069658018528497
8,3,2797467,40511,6592.267569033998,76750.0,Low,-0.0909094935622547,-1.1487907448554942
8,4,2864854,41053,6779.553211478551,67387.0,Low,-0.1061400116644171,-1.0990045076008597
8,5,2926041,41477,6942.126089574419,61187.0,Low,-0.11622537022827557,-1.0557876770184196
8,6,2981818,41831,7097.829900767907,55777.0,Low,-0.12502565891061013,-1.0143968539721477
8,7,3033731,42129,7232.0880336042,51913.0,Low,-0.1313111146349245,-0.9787069464730673
8,8,3084118,42396,7358.244190094097,50387.0,Low,-0.13379341417822257,-0.9451707914525441
8,9,3132278,42611,7501.308818959081,48160.0,Low,-0.1374160099075311,-0.9071398486506843
8,10,3181416,42843,7629.583495902078,49138.0,Low,-0.13582512592761922,-0.8730405262643655
8,11,3228374,43049,7747.677367295283,46958.0,Low,-0.13937126813233075,-0.8416475725773732
8,12,3282471,43211,7879.159593355209,54097.0,Low,-0.12775846574726857,-0.8066955857835914
8,13,3346680,43467,8028.125814910971,64209.0,Low,-0.11130957126376262,-0.7670958196055869
8,14,3423852,43817,8203.724865019982,77172.0,Low,-0.09022303851161788,-0.7204162351147259
8,15,3502248,44197,8398.43525186281,78396.0,Low,-0.08823199353062387,-0.6686562742935506
8,16,3583546,44704,8596.182019308206,81298.0,Low,-0.08351139505444367,-0.6160891508778393
8,17,3663556,45225,8806.825962205197,80010.0,Low,-0.08560654696254846,-0.5600935647750438
8,18,3732338,45676,8993.017614579707,68782.0,Low,-0.10387080598754894,-0.5105981434552053
8,19,3785804,46135,9152.20929434118,53466.0,Low,-0.12878489498175158,-0.4682801385397191
8,20,3826093,46521,9277.792408413434,40289.0,Low,-0.15021953527142304,-0.4348963156755182
8,21,3856265,46857,9376.231669092464,30172.0,Low,-0.16667656310860954,-0.40872815711639127
8,22,3878664,47202,9454.138150157554,22399.0,Low,-0.17932067474036306,-0.38801823776884375
8,23,3896666,47453,9526.048771813816,18002.0,Low,-0.18647314596702205,-0.3689022007668786
8,24,3911410,47708,9590.008740013183,14744.0,Low,-0.19177283922525606,-0.35189969000305776
8,25,3926322,47925,9638.747113950008,14912.0,Low,-0.19149955854159023,-0.33894354335694066
8,26,3942746,48196,9687.964263586411,16424.0,Low,-0.18904003238859765,-0.3258601235239429
8,27,3961468,48380,9736.141998621126,18722.0,Low,-0.18530194303702557,-0.3130530118013273
8,28,3984558,48642,9797.447614496356,23090.0,Low,-0.17819664526171367,-0.29675610886116033
8,29,4014251,48926,9861.258740509324,29693.0,Low,-0.1674557383912044,-0.2797931648911891
8,30,4052727,49228,9945.781256759916,38476.0,Low,-0.1531686893159836,-0.2573245015570175
8,31,4102334,49662,10056.777836564928,49607.0,High,-0.13506221735238544,-0.22781822449009617
8,32,4159249,50156,10184.154498983307,56915.0,High,-0.12317450761292127,-0.19395762176000492
8,33,4230925,50740,10335.120167243049,71676.0,High,-0.09916322087725758,-0.15382634165128478
8,34,4315297,51329,10521.304377508235,84372.0,High,-0.0785110092116532,-0.10433289867113954
8,35,4405079,52085,10723.491603514582,89782.0,High,-0.06971072052931862,-0.050585365905575046
8,36,4496617,52892,10945.58647195198,91538.0,High,-0.06685428671671613,0.00845422553739816
8,37,4591619,53721,11177.88943367334,95002.0,High,-0.06121949928684423,0.07020743959190295
8,38,4681386,54676,11398.520687277804,89767.0,High,-0.06973512059036022,0.12885795756202087
8,39,4776277,55705,11612.35481436998,94891.0,High,-0.061400059738552025,0.1857015919463312
8,40,4881808,56876,11853.69001610274,105531.0,High,-0.044092283106381996,0.2498558509409547
8,41,4986067,58046,12129.683120938842,104259.0,High,-0.04616140828270909,0.3232232378835037
